chr	gene	ratio	observed_state	hidden_state
chr1	Orc2	0.9712257100149476	5.0	1
chr1	Fam126b	0.64	2.0	1
chr1	Ndufb3	0.9563031709203402	5.0	1
chr1	Cflar	1.0	5.0	1
chr1	Trak2	0.9923076923076923	5.0	1
chr1	Tmem237	0.6305220883534136	2.0	1
chr1	Nop58	0.9722522522522523	5.0	1
chr1	Bmpr2	1.0	5.0	1
chr1	Fam117b	1.0	5.0	1
chr1	Wdr12	0.854074074074074	4.0	1
chr1	Nbeal1	0.9795918367346939	5.0	1
chr1	Cyp20a1	0.9347826086956522	5.0	1
chr1	Abi2	1.0	5.0	1
chr1	Raph1	1.0	5.0	1
chr1	Nrp2	0.7	3.0	1
chr1	Ino80d	1.0	5.0	1
chr1	Ndufs1	0.9797008547008546	5.0	1
chr1	Eef1b2	0.997852233676976	5.0	1
chr1	Klf7	0.9759036144578314	5.0	1
chr1	Mettl21a	0.9841269841269841	5.0	1
chr1	2810408I11Rik	0.9795918367346939	5.0	1
chr1	Ccnyl1	0.975	5.0	1
chr1	Fzd5	1.0	5.0	1
chr1	Idh1	1.0	5.0	1
chr1	Rpe	0.9375	5.0	1
chr1	Acadl	0.33088235294117646	0.0	1
chr1	Lancl1	0.9183673469387755	5.0	1
chr1	Bard1	1.0	5.0	1
chr1	Atic	0.9941196793808734	5.0	1
chr1	Fn1	0.9731182795698925	5.0	1
chr1	Xrcc5	0.9964788732394366	5.0	1
chr1	Smarcal1	0.9896907216494846	5.0	1
chr1	Rpl37a	0.9627662037037036	5.0	1
chr1	Igfbp2	0.9695238095238095	5.0	1
chr1	Igfbp5	0.9358024691358026	5.0	1
chr1	Aamp	0.9924812030075187	5.0	1
chr1	Ctdsp1	0.9555555555555556	5.0	1
chr1	Vil1	0.8675213675213675	4.0	1
chr1	Usp37	0.9828571428571429	5.0	1
chr1	Zfp142	0.6907894736842105	2.0	1
chr1	Bcs1l	1.0	5.0	1
chr1	Rnf25	0.974025974025974	5.0	1
chr1	Ttll4	0.9795918367346939	5.0	1
chr1	Nhej1	0.9803921568627451	5.0	1
chr1	Zfand2b	0.9744897959183674	5.0	1
chr1	Abcb6	0.9772727272727273	5.0	1
chr1	Atg9a	1.0	5.0	1
chr1	Ankzf1	0.9622641509433962	5.0	1
chr1	Stk16	0.96875	5.0	1
chr1	Dnpep	0.9583333333333334	5.0	1
chr1	Speg	0.96	5.0	1
chr1	Gmppa	0.8837209302325582	4.0	1
chr1	Obsl1	0.75	3.0	1
chr1	Epha4	0.9882352941176471	5.0	1
chr1	Farsb	0.9784536082474227	5.0	1
chr1	Acsl3	0.9807692307692307	5.0	1
chr1	Utp14b	0.9615384615384616	5.0	1
chr1	Ap1s3	0.9866666666666667	5.0	1
chr1	Wdfy1	0.9769230769230769	5.0	1
chr1	Mrpl44	0.6739981785063752	2.0	1
chr1	Serpine2	0.9767441860465116	5.0	1
chr1	Cul3	1.0	5.0	1
chr1	Mff	0.9891518737672583	5.0	1
chr1	Agfg1	0.9851851851851852	5.0	1
chr1	Trip12	1.0	5.0	1
chr1	Cab39	1.0	5.0	1
chr1	Itm2c	0.9511241446725317	5.0	1
chr1	Psmd1	0.9832427536231884	5.0	1
chr1	Armc9	0.9814814814814815	5.0	1
chr1	B3gnt7	0.958904109589041	5.0	1
chr1	Ncl	0.9734566688998683	5.0	1
chr1	Eif4e2	0.9915254237288136	5.0	1
chr1	Gigyf2	0.970464135021097	5.0	1
chr1	Atg16l1	0.7013888888888888	3.0	1
chr1	Usp40	0.9565217391304348	5.0	1
chr1	Arl4c	1.0	5.0	1
chr1	Sh3bp4	0.9485981308411215	5.0	1
chr1	Agap1	0.991869918699187	5.0	1
chr1	Gbx2	0.9875	5.0	1
chr1	Cops8	0.9931553730321697	5.0	1
chr1	Lrrfip1	0.9667822468793342	5.0	1
chr1	Ube2f	0.9743589743589743	5.0	1
chr1	Scly	0.9733727810650887	5.0	1
chr1	Hes6	0.96875	5.0	1
chr1	Hdac4	0.6862745098039216	2.0	1
chr1	Ndufa10	0.9893867924528302	5.0	1
chr1	Gpc1	0.9846153846153847	5.0	1
chr1	Rnpepl1	0.9921259842519685	5.0	1
chr1	Capn10	0.9798387096774194	5.0	1
chr1	Hdlbp	0.9772727272727273	5.0	1
chr1	Stk25	0.875	4.0	1
chr1	Bok	0.9778761061946902	5.0	1
chr1	Thap4	0.5260416666666666	1.0	1
chr1	Atg4b	0.9622641509433962	5.0	1
chr1	Dtymk	0.9796927437641723	5.0	1
chr1	Ing5	1.0	5.0	1
chr1	Fam174a	0.9714285714285714	5.0	1
chr1	Ppip5k2	0.986046511627907	5.0	1
chr1	Phlpp1	0.9574468085106383	5.0	1
chr1	Kdsr	1.0	5.0	1
chr1	Tsn	0.790079365079365	3.0	1
chr1	Nifk	0.9783549783549784	5.0	1
chr1	Clasp1	0.8677777777777779	4.0	1
chr1	Tfcp2l1	0.9523809523809523	5.0	1
chr1	Gli2	1.0	5.0	1
chr1	Ralb	0.9814814814814815	5.0	1
chr1	Epb41l5	0.9908256880733946	5.0	1
chr1	Tmem177	0.9746835443037974	5.0	1
chr1	Tmem37	0.9626865671641791	5.0	1
chr1	Dbi	0.9778211578835712	5.0	1
chr1	Ccdc93	1.0	5.0	1
chr1	Actr3	0.6934523809523809	2.0	1
chr1	Ccnt2	0.9942196531791907	5.0	1
chr1	Zranb3	0.9919354838709677	5.0	1
chr1	Ubxn4	0.9694656488549618	5.0	1
chr1	Dyrk3	0.9551282051282051	5.0	1
chr1	Srgap2	1.0	5.0	1
chr1	Slc41a1	1.0	5.0	1
chr1	Nucks1	0.9808917197452229	5.0	1
chr1	Rbbp5	0.6081081081081081	2.0	1
chr1	Mdm4	0.9888268156424581	5.0	1
chr1	Snrpe	0.49643633202955234	0.0	1
chr1	Btg2	0.9863013698630136	5.0	1
chr1	Tmem183a	0.9857288481141692	5.0	1
chr1	Adipor1	0.9874213836477987	5.0	1
chr1	Rabif	0.8214285714285714	4.0	1
chr1	Kdm5b	0.9112801013941698	5.0	1
chr1	Ube2t	0.9838709677419355	5.0	1
chr1	Elf3	0.6498397435897436	2.0	1
chr1	Rnpep	0.6511661807580176	2.0	1
chr1	Timm17a	0.7858188980059377	3.0	1
chr1	Shisa4	0.8125	4.0	1
chr1	Ipo9	0.7783687943262411	3.0	1
chr1	Nav1	0.7040816326530612	3.0	1
chr1	Csrp1	0.9890801644398767	5.0	1
chr1	Tnni1	0.8330174927113703	4.0	1
chr1	Lad1	1.0	5.0	1
chr1	Tmem9	0.9752920035938903	5.0	1
chr1	Camsap2	1.0	5.0	1
chr1	Nek7	1.0	5.0	1
chr1	Dennd1b	0.975609756097561	5.0	1
chr1	Aspm	0.9775280898876404	5.0	1
chr1	Cdc73	0.9427083333333334	5.0	1
chr1	Glrx2	0.9712643678160919	5.0	1
chr1	Uchl5	0.9907407407407407	5.0	1
chr1	Tpr	0.994061757719715	5.0	1
chr1	Ivns1abp	0.9934959349593495	5.0	1
chr1	Swt1	0.9318181818181818	5.0	1
chr1	Trmt1l	0.9002849002849003	5.0	1
chr1	1700025G04Rik	0.8851351351351351	4.0	1
chr1	Rgl1	0.9722222222222222	5.0	1
chr1	Arpc5	0.543848167539267	1.0	1
chr1	Lamc1	0.9942196531791907	5.0	1
chr1	Dhx9	0.6918604651162791	2.0	1
chr1	Npl	0.5254493850520341	1.0	1
chr1	Glul	0.7950251645373596	3.0	1
chr1	Stx6	0.5806010928961748	1.0	1
chr1	Acbd6	0.9949633699633699	5.0	1
chr1	Tor1aip2	0.5975567190226876	1.0	1
chr1	Soat1	0.7410968660968661	3.0	1
chr1	Tor3a	0.7896174863387978	3.0	1
chr1	Fam20b	0.8858695652173914	4.0	1
chr1	Ralgps2	0.7642276422764228	3.0	1
chr1	Cacybp	0.5239440282979608	1.0	1
chr1	Gas5	0.8778298204527712	4.0	1
chr1	Prdx6	0.9824120603015075	5.0	1
chr1	Vamp4	0.8296296296296296	4.0	1
chr1	Prrc2c	0.9086538461538461	5.0	1
chr1	Gorab	0.9270833333333334	5.0	1
chr1	Slc19a2	0.44594594594594594	0.0	1
chr1	Atp1b1	0.8636363636363636	4.0	1
chr1	Tiprl	0.990990990990991	5.0	1
chr1	Mpzl1	0.6137820512820512	2.0	1
chr1	Rcsd1	0.45588235294117646	0.0	1
chr1	Tada1	0.9183673469387755	5.0	1
chr1	Uck2	0.7812185297079556	3.0	1
chr1	Aldh9a1	0.7074142156862745	3.0	1
chr1	Mgst3	0.7663624921334172	3.0	1
chr1	Pbx1	0.9639730639730638	5.0	1
chr1	Nuf2	0.989010989010989	5.0	1
chr1	Uap1	0.9886363636363636	5.0	1
chr1	Atf6	0.9807692307692307	5.0	1
chr1	Dusp12	0.9858757062146892	5.0	1
chr1	Ufc1	0.5564146620847652	1.0	1
chr1	Gm20045	0.6666666666666666	2.0	1
chr1	Nit1	0.967032967032967	5.0	1
chr1	Pfdn2	0.4754305323327781	0.0	1
chr1	Usf1	0.8839869281045751	4.0	1
chr1	F11r	0.5644329896907216	1.0	1
chr1	Vangl2	0.9421487603305785	5.0	1
chr1	Copa	0.7218934911242604	3.0	1
chr1	Pex19	0.6102941176470589	2.0	1
chr1	Dcaf8	0.9249563699825479	5.0	1
chr1	Pea15a	0.7696629213483146	3.0	1
chr1	Igsf8	0.375	0.0	1
chr1	Tagln2	0.9876725838264301	5.0	1
chr1	Fh1	0.8461386918833727	4.0	1
chr1	Opn3	1.0	5.0	1
chr1	Exo1	0.9871794871794872	5.0	1
chr1	Adss	0.9870370370370372	5.0	1
chr1	Cox20	0.9545454545454546	5.0	1
chr1	Hnrnpu	0.9863629319696264	5.0	1
chr1	Smyd3	0.9888888888888889	5.0	1
chr1	Ahctf1	0.9872881355932204	5.0	1
chr1	Parp1	0.9834754797441365	5.0	1
chr1	Sde2	0.9134397870924816	5.0	1
chr1	Pycr2	0.9788477891156463	5.0	1
chr1	Nvl	0.8817610062893081	4.0	1
chr1	Wdr26	0.9858490566037735	5.0	1
chr1	Lbr	0.8539823008849557	4.0	1
chr1	Enah	0.9807121661721068	5.0	1
chr1	Srp9	0.9773355444997235	5.0	1
chr1	Degs1	0.7330140485312899	3.0	1
chr1	Fbxo28	0.9861111111111112	5.0	1
chr1	Brox	1.0	5.0	1
chr1	Aida	0.9782608695652174	5.0	1
chr1	Mia3	0.8411479944674964	4.0	1
chr1	Marc2	0.994535519125683	5.0	1
chr1	Rab3gap2	0.9487179487179487	5.0	1
chr1	Iars2	1.0	5.0	1
chr1	Eprs	0.9892873886544774	5.0	1
chr1	Lyplal1	0.9811320754716981	5.0	1
chr1	Rrp15	0.980324074074074	5.0	1
chr1	Gpatch2	0.9949494949494949	5.0	1
chr1	Cenpf	0.9627777077291642	5.0	1
chr1	Ptpn14	0.9453125	5.0	1
chr1	Smyd2	0.9817518248175182	5.0	1
chr1	Angel2	0.9918032786885246	5.0	1
chr1	Vash2	1.0	5.0	1
chr1	Tatdn3	0.7788461538461539	3.0	1
chr1	Nsl1	0.9702970297029703	5.0	1
chr1	Batf3	0.9726027397260274	5.0	1
chr1	Nenf	0.9795918367346939	5.0	1
chr1	Ppp2r5a	0.9866666666666667	5.0	1
chr1	Dtl	0.9859098228663447	5.0	1
chr1	Ints7	0.9574759945130317	5.0	1
chr1	Lpgat1	1.0	5.0	1
chr1	Syt14	0.7211538461538461	3.0	1
chr1	Cr1l	0.5227272727272727	1.0	1
chr2	Nmt2	0.46710526315789475	0.0	0
chr2	Suv39h2	0.5611702127659575	1.0	0
chr2	Hspa14	0.5216867469879517	1.0	0
chr2	Fam107b	0.6052083333333333	2.0	0
chr2	Prpf18	0.5666666666666667	1.0	0
chr2	Sephs1	0.5434782608695652	1.0	0
chr2	Mcm10	0.52541928721174	1.0	0
chr2	Cdc123	0.514196372732958	1.0	0
chr2	Nudt5	0.3637566137566137	0.0	0
chr2	Sec61a2	0.5	1.0	0
chr2	Usp6nl	0.4084507042253521	0.0	0
chr2	Taf3	0.5223880597014925	1.0	0
chr2	Atp5c1	0.4263447647100077	0.0	0
chr2	Kin	0.4943609022556391	0.0	0
chr2	Pfkfb3	0.5483091787439612	1.0	0
chr2	Rbm17	0.4884422110552763	0.0	0
chr2	Ankrd16	0.3055555555555556	0.0	0
chr2	Rsu1	0.5371345029239766	1.0	0
chr2	Vim	0.458568273442408	0.0	0
chr2	Stam	0.3698630136986301	0.0	0
chr2	Arl5b	0.5714285714285714	1.0	0
chr2	Mllt10	0.46088435374149656	0.0	0
chr2	Dnajc1	0.4755555555555555	0.0	0
chr2	Commd3	0.50944669365722	1.0	0
chr2	Pip4k2a	0.49621212121212127	0.0	0
chr2	Msrb2	0.5446428571428571	1.0	0
chr2	Etl4	0.5394736842105263	1.0	0
chr2	Arhgap21	0.3625	0.0	0
chr2	Abi1	0.5681818181818182	1.0	0
chr2	Acbd5	0.5471698113207547	1.0	0
chr2	Mastl	0.5746268656716418	1.0	0
chr2	Yme1l1	0.6422505307855627	2.0	0
chr2	Spopl	0.555	1.0	0
chr2	Ehmt1	0.2158965896589659	0.0	0
chr2	Zmynd19	0.19230769230769232	0.0	0
chr2	Dph7	0.5013661202185792	1.0	0
chr2	Mrpl41	0.075	0.0	0
chr2	Nelfb	0.46986301369863015	0.0	0
chr2	Tubb4b	0.620997060552616	2.0	0
chr2	Ndor1	0.3767123287671233	0.0	0
chr2	Tprn	0.5416666666666666	1.0	0
chr2	Ssna1	0.5399204244031831	1.0	0
chr2	Man1b1	0.48598130841121495	0.0	0
chr2	Sapcd2	0.34502923976608185	0.0	0
chr2	Npdc1	0.5568181818181818	1.0	0
chr2	Fbxw5	0.5	1.0	0
chr2	Traf2	0.4380952380952381	0.0	0
chr2	Rabl6	0.4543010752688172	0.0	0
chr2	Ubac1	0.4587628865979381	0.0	0
chr2	Pmpca	0.5675675675675675	1.0	0
chr2	Sec16a	0.47580645161290325	0.0	0
chr2	Egfl7	0.027502750275027504	0.0	0
chr2	Agpat2	0.4043715846994535	0.0	0
chr2	Surf6	0.4272151898734177	0.0	0
chr2	Med22	0.5793172690763052	1.0	0
chr2	Rpl7a	0.46774193548387094	0.0	0
chr2	Surf1	0.5636070853462157	1.0	0
chr2	Surf2	0.6094527363184079	2.0	0
chr2	Surf4	0.5038071065989848	1.0	0
chr2	Cacfd1	0.5040983606557377	1.0	0
chr2	Vav2	0.48507462686567165	0.0	0
chr2	Brd3	0.45555555555555555	0.0	0
chr2	Rxra	0.5161290322580645	1.0	0
chr2	Olfm1	0.5303030303030303	1.0	0
chr2	Gtf3c5	0.45054945054945056	0.0	0
chr2	Gtf3c4	0.49206349206349204	0.0	0
chr2	Ddx31	0.4472222222222222	0.0	0
chr2	Ttf1	0.6029411764705882	2.0	0
chr2	Med27	0.5108695652173914	1.0	0
chr2	Rapgef1	0.4425287356321839	0.0	0
chr2	Trub2	0.4892787524366471	0.0	0
chr2	Slc27a4	0.3918918918918919	0.0	0
chr2	Odf2	0.37910353535353536	0.0	0
chr2	Gle1	0.5584795321637427	1.0	0
chr2	Sptan1	0.5218579234972678	1.0	0
chr2	Wdr34	0.4807692307692308	0.0	0
chr2	Set	0.9021739130434783	5.0	0
chr2	Pkn3	0.3958333333333333	0.0	0
chr2	Lrrc8a	0.6642857142857143	2.0	0
chr2	Phyhd1	0.425531914893617	0.0	0
chr2	Dolk	0.581081081081081	1.0	0
chr2	Nup188	0.4899527186761229	0.0	0
chr2	Sh3glb2	0.6107142857142858	2.0	0
chr2	Ntmt1	0.5208485958485959	1.0	0
chr2	Asb6	0.5046728971962616	1.0	0
chr2	Prrx2	0.5028011204481792	1.0	0
chr2	Tor1b	0.6012658227848101	2.0	0
chr2	Tor1a	0.50920245398773	1.0	0
chr2	BC005624	0.7606382978723404	3.0	0
chr2	Gpr107	0.4067796610169492	0.0	0
chr2	Prrc2b	0.5148401826484018	1.0	0
chr2	Mvb12b	0.25824175824175827	0.0	0
chr2	Gapvd1	0.5483870967741935	1.0	0
chr2	Hspa5	0.5318627450980392	1.0	0
chr2	Rabepk	0.49242424242424243	0.0	0
chr2	Fbxw2	0.3561643835616438	0.0	0
chr2	Psmd5	0.6189320388349514	2.0	0
chr2	Rab14	0.5074626865671642	1.0	0
chr2	Dab2ip	0.4180327868852459	0.0	0
chr2	Ndufa8	0.5017330383480826	1.0	0
chr2	Rbm18	0.532	1.0	0
chr2	Mrrf	0.5776614310645724	1.0	0
chr2	Pdcl	0.4534450651769087	0.0	0
chr2	Rc3h2	0.4818181818181818	0.0	0
chr2	Psmb7	0.09959727385377942	0.0	0
chr2	Nr6a1	0.49152661064425773	0.0	0
chr2	Arpc5l	0.515748031496063	1.0	0
chr2	Orc4	0.5793650793650794	1.0	0
chr2	Kif5c	0.3989501312335958	0.0	0
chr2	Mmadhc	0.4988888888888889	0.0	0
chr2	Rnd3	0.023255813953488372	0.0	0
chr2	Rif1	0.32620320855614976	0.0	0
chr2	Arl5a	0.5669191919191919	1.0	0
chr2	Stam2	0.5487804878048781	1.0	0
chr2	Prpf40a	0.4971264367816091	0.0	0
chr2	Arl6ip6	0.510889668367347	1.0	0
chr2	Gpd2	0.4305555555555556	0.0	0
chr2	Pkp4	0.5551666666666667	1.0	0
chr2	Tanc1	0.6213991769547326	2.0	0
chr2	Baz2b	0.5298507462686567	1.0	0
chr2	March7	0.5384615384615384	1.0	0
chr2	Rbms1	0.5255255255255254	1.0	0
chr2	Tank	0.5123456790123457	1.0	0
chr2	Psmd14	0.033928571428571426	0.0	0
chr2	Fign	0.5432098765432098	1.0	0
chr2	Cobll1	0.18636363636363637	0.0	0
chr2	Stk39	0.20707070707070707	0.0	0
chr2	Cers6	0.4	0.0	0
chr2	Spc25	0.5055436337625179	1.0	0
chr2	Lrp2	0.4596045197740113	0.0	0
chr2	Bbs5	0.5405405405405406	1.0	0
chr2	Fastkd1	0.32051282051282054	0.0	0
chr2	Ppig	0.14204545454545456	0.0	0
chr2	Phospho2	0.464080459770115	0.0	0
chr2	Ssb	0.5202952029520295	1.0	0
chr2	Ubr3	0.6031746031746031	2.0	0
chr2	Sp5	0.3057389971139971	0.0	0
chr2	Gorasp2	0.4533678756476684	0.0	0
chr2	Tlk1	0.5258397932816538	1.0	0
chr2	Mettl8	0.5607064017660044	1.0	0
chr2	Dcaf17	0.36551724137931035	0.0	0
chr2	Hat1	0.5506928467248207	1.0	0
chr2	Metap1d	0.5561056105610561	1.0	0
chr2	Pdk1	0.5365961199294532	1.0	0
chr2	Ola1	0.6140873015873015	2.0	0
chr2	Chn1	0.5367647058823529	1.0	0
chr2	Mtx2	0.5706755753526355	1.0	0
chr2	Nfe2l2	0.10062893081761005	0.0	0
chr2	Agps	0.5869565217391305	1.0	0
chr2	Rbm45	0.015625	0.0	0
chr2	Prkra	0.413135593220339	0.0	0
chr2	Cwc22	0.18023255813953487	0.0	0
chr2	Dnajc10	0.4177215189873418	0.0	0
chr2	Frzb	0.05694444444444444	0.0	0
chr2	Nckap1	0.521680216802168	1.0	0
chr2	Dusp19	0.010869565217391304	0.0	0
chr2	Nup35	0.008771929824561403	0.0	0
chr2	Zc3h15	0.6828571428571428	2.0	0
chr2	Itgav	0.38235294117647056	0.0	0
chr2	Fam171b	0.02857142857142857	0.0	0
chr2	Tfpi	0.04945054945054945	0.0	0
chr2	Clp1	0.056338028169014086	0.0	0
chr2	Ssrp1	0.01818181818181818	0.0	0
chr2	Aplnr	0.6179597701149424	2.0	0
chr2	Mtch2	0.6885057471264368	2.0	0
chr2	Kbtbd4	0.4727272727272727	0.0	0
chr2	Ptpmt1	0.4418050941306755	0.0	0
chr2	Psmc3	0.5059227117638332	1.0	0
chr2	Ckap5	0.4305555555555556	0.0	0
chr2	Arhgap1	0.5483333333333333	1.0	0
chr2	Slc35c1	0.62	2.0	0
chr2	Cd82	0.6617647058823529	2.0	0
chr2	Alkbh3	0.5066666666666666	1.0	0
chr2	Hsd17b12	0.5237745098039215	1.0	0
chr2	B230118H07Rik	0.573170731707317	1.0	0
chr2	Traf6	0.40425531914893614	0.0	0
chr2	Ldlrad3	0.3917525773195876	0.0	0
chr2	Trim44	0.5269461077844312	1.0	0
chr2	Cd44	0.14893617021276595	0.0	0
chr2	Pdhx	0.41591591591591587	0.0	0
chr2	Apip	0.053125	0.0	0
chr2	Elf5	0.28137254901960784	0.0	0
chr2	Cat	0.4558599695585997	0.0	0
chr2	Nat10	0.5239898989898989	1.0	0
chr2	Caprin1	0.5	1.0	0
chr2	Lmo2	0.4627363445378151	0.0	0
chr2	Fbxo3	0.45038167938931295	0.0	0
chr2	Depdc7	0.36538461538461536	0.0	0
chr2	Qser1	0.43	0.0	0
chr2	Rcn1	0.4457831325301205	0.0	0
chr2	Elp4	0.0839506172839506	0.0	0
chr2	Immp1l	0.1915922619047619	0.0	0
chr2	Dnajc24	0.6903703703703703	2.0	0
chr2	Mpped2	0.29464285714285715	0.0	0
chr2	Arl14ep	0.489010989010989	0.0	0
chr2	Kif18a	0.5481927710843374	1.0	0
chr2	Lin7c	0.43951612903225806	0.0	0
chr2	Lpcat4	0.7641509433962265	3.0	0
chr2	Arhgap11a	0.06766917293233082	0.0	0
chr2	Actc1	0.6043360084611725	2.0	0
chr2	Aqr	0.5770648967551621	1.0	0
chr2	Zfp770	0.5348837209302325	1.0	0
chr2	Dph6	0.5542168674698795	1.0	0
chr2	BC052040	0.22826086956521738	0.0	0
chr2	Meis2	0.5520833333333334	1.0	0
chr2	Spred1	0.3680555555555556	0.0	0
chr2	Fam98b	0.515406162464986	1.0	0
chr2	Srp14	0.013636363636363636	0.0	0
chr2	Bub1b	0.028445512820512817	0.0	0
chr2	Knstrn	0.39741035856573703	0.0	0
chr2	Ccdc32	0.03	0.0	0
chr2	Rad51	0.16221033868092688	0.0	0
chr2	Rmdn3	0.09530386740331492	0.0	0
chr2	Dnajc17	0.33840947546531297	0.0	0
chr2	Vps18	0.1569767441860465	0.0	0
chr2	Nusap1	0.07391910739191072	0.0	0
chr2	Ndufaf1	0.01	0.0	0
chr2	Rtf1	0.018115942028985504	0.0	0
chr2	Rpap1	0.07692307692307693	0.0	0
chr2	Tyro3	0.022727272727272728	0.0	0
chr2	Mga	0.15040650406504066	0.0	0
chr2	Mapkbp1	0.041666666666666664	0.0	0
chr2	Jmjd7	0.0847457627118644	0.0	0
chr2	Ehd4	0.4697916666666666	0.0	0
chr2	Vps39	0.39473684210526316	0.0	0
chr2	Tmem87a	0.3333333333333333	0.0	0
chr2	Ganc	0.4393939393939394	0.0	0
chr2	Zfp106	0.5146520146520146	1.0	0
chr2	Snap23	0.2881944444444444	0.0	0
chr2	Haus2	0.4408284023668639	0.0	0
chr2	Ubr1	0.02702702702702703	0.0	0
chr2	Ccndbp1	0.0220125786163522	0.0	0
chr2	Lcmt2	0.43478260869565216	0.0	0
chr2	Tubgcp4	0.021052631578947368	0.0	0
chr2	Pdia3	0.031581038383158525	0.0	0
chr2	Serf2	0.5786384976525821	1.0	0
chr2	Hypk	0.016069788797061522	0.0	0
chr2	Mfap1b	0.05434782608695652	0.0	0
chr2	Mfap1a	0.022727272727272728	0.0	0
chr2	Wdr76	0.20454545454545456	0.0	0
chr2	Casc4	0.09302325581395349	0.0	0
chr2	Ctdspl2	0.25925925925925924	0.0	0
chr2	B2m	0.3600323624595469	0.0	0
chr2	Sord	0.42857142857142855	0.0	0
chr2	Shf	0.4388020833333333	0.0	0
chr2	Bloc1s6	0.4703196347031963	0.0	0
chr2	Myef2	0.4017857142857143	0.0	0
chr2	Dut	0.49287111354451707	0.0	0
chr2	Eid1	0.03637350705754615	0.0	0
chr2	Cops2	0.013440860215053764	0.0	0
chr2	Galk2	0.3789808917197452	0.0	0
chr2	Dtwd1	0.19642857142857142	0.0	0
chr2	Usp8	0.12790697674418605	0.0	0
chr2	Trpm7	0.1935483870967742	0.0	0
chr2	Sppl2a	0.1791044776119403	0.0	0
chr2	Blvra	0.5694444444444444	1.0	0
chr2	Ncaph	0.09504132231404959	0.0	0
chr2	Itpripl1	0.12195121951219512	0.0	0
chr2	Snrnp200	0.3363453815261044	0.0	0
chr2	Tmem127	0.14035087719298245	0.0	0
chr2	Stard7	0.01929824561403509	0.0	0
chr2	Mrps5	0.04142011834319527	0.0	0
chr2	Nphp1	0.6595911949685533	2.0	0
